DateTime,Ping (ms),Jitter (ms),Download (Mbps),Upload (Mbps)
06/17/22 10:48,8.79,2.01,42.56,22.34
06/17/22 10:50,9.77,8.75,36.74,23.68
06/17/22 10:52,9.07,4.31,37.17,23.03
06/17/22 10:54,7.89,1.87,45.87,23.44
06/17/22 10:56,7.87,1.57,47.27,22.79
06/17/22 10:58,7.84,2.08,40.48,23.64
06/17/22 11:00,8.37,2.91,40.26,23.64
06/17/22 11:02,10.19,2.03,35.33,23.26
06/17/22 11:06,9.21,5.08,37.32,23.01
06/17/22 11:08,8.42,4.01,49.12,23.64
06/17/22 11:10,9.81,4.61,19.26,21.90
06/17/22 11:12,8.28,2.67,44.25,22.97
06/17/22 11:14,9.85,19.12,34.24,23.51
06/17/22 11:16,8.05,2.80,36.51,23.62
06/17/22 11:18,8.07,3.52,38.51,22.81
06/17/22 11:20,7.80,1.53,46.45,21.50
06/17/22 11:22,7.94,3.70,46.47,20.66
06/17/22 11:24,7.93,2.32,35.88,20.09
06/17/22 11:28,9.29,2.67,31.03,22.31
06/17/22 11:30,9.88,4.34,31.65,22.11
06/17/22 11:32,8.37,5.14,24.37,20.75
06/17/22 11:34,7.80,1.67,26.30,23.53
06/17/22 11:36,9.76,1.17,27.49,23.52
06/17/22 11:38,9.00,6.93,29.09,23.28
06/17/22 11:40,8.03,1.91,25.92,23.44
06/17/22 11:44,9.86,2.92,28.32,23.54
06/17/22 11:46,9.78,0.79,19.69,23.48
06/17/22 11:48,10.42,23.68,23.97,23.60
06/17/22 11:50,7.79,4.61,25.77,23.20
06/17/22 11:52,9.29,4.36,28.29,22.46
06/17/22 11:54,9.83,14.11,26.33,23.60
06/17/22 11:56,8.95,2.88,25.73,22.02
06/17/22 11:58,9.90,3.63,24.43,23.39
06/17/22 12:00,10.97,13.15,14.59,20.39
06/17/22 12:02,9.79,2.20,29.45,22.98
06/17/22 12:04,8.00,1.27,30.34,22.94
06/17/22 12:06,7.89,2.65,32.76,22.58
06/17/22 12:08,11.82,4.16,29.96,23.32
06/17/22 12:10,9.40,8.14,27.51,23.37
06/17/22 12:12,8.37,2.21,23.67,23.04
06/17/22 12:14,7.67,2.19,31.93,23.63
06/17/22 12:16,9.32,4.65,24.52,23.63
06/17/22 12:18,8.91,2.31,29.34,23.46
06/17/22 12:20,12.01,2.00,39.17,23.69
06/17/22 12:22,8.23,20.87,38.28,23.18
06/17/22 12:24,10.16,1.44,34.54,7.56
06/17/22 12:26,15.20,0.76,25.95,23.62
06/17/22 12:28,7.87,1.84,40.10,23.59
06/17/22 12:30,7.83,2.39,34.66,23.29
06/17/22 12:32,9.85,1.88,39.46,22.40
06/17/22 12:34,7.83,2.63,31.74,21.52
06/17/22 12:36,9.61,1.91,25.56,22.86
06/17/22 12:38,7.79,1.55,37.28,21.99
06/17/22 12:40,9.87,1.72,36.37,16.65
06/17/22 12:42,9.84,3.51,38.26,19.05
06/17/22 12:44,8.16,3.02,46.66,22.98
06/17/22 12:46,10.18,1.37,42.39,23.17
06/17/22 12:48,7.81,1.89,40.04,21.45
06/17/22 12:50,7.72,2.49,37.30,23.25
06/17/22 12:52,8.64,1.56,41.42,23.26
06/17/22 12:54,8.27,3.10,53.42,23.70
06/17/22 12:56,8.99,3.32,40.97,23.31
06/17/22 12:58,7.89,1.90,36.03,23.46
06/17/22 13:00,8.99,3.95,44.09,23.35
06/17/22 13:02,9.83,2.20,40.85,23.11
06/17/22 13:04,7.96,2.42,28.78,23.56
06/17/22 13:06,9.08,2.80,39.68,23.21
06/17/22 13:08,7.90,1.23,29.97,23.51
06/17/22 13:10,7.86,5.20,31.00,23.48
06/17/22 13:12,7.95,2.94,30.90,23.48
06/17/22 13:14,7.99,1.30,29.73,23.62
06/17/22 13:16,9.76,0.66,30.19,22.75
06/17/22 13:18,7.93,1.85,20.41,18.01
06/17/22 13:20,9.81,27.57,27.95,23.31
06/17/22 13:22,9.88,0.99,28.56,22.12
06/17/22 13:24,9.80,31.69,30.68,21.64
06/17/22 13:26,12.67,2.67,30.32,22.73
06/17/22 13:28,9.70,26.66,32.90,23.58
06/17/22 13:30,9.72,2.56,30.06,23.40
06/17/22 13:32,9.74,2.40,18.06,22.20
06/17/22 13:34,7.82,1.87,29.20,23.36
06/17/22 13:36,8.78,1.27,21.55,23.73
06/17/22 13:38,11.15,9.22,30.50,22.87
06/17/22 13:40,8.21,3.36,29.56,22.57
06/17/22 13:42,8.80,1.54,25.67,23.63
06/17/22 13:44,8.52,1.84,29.36,22.92
06/17/22 13:46,9.59,1.39,41.83,23.38
06/17/22 13:48,7.86,63.82,34.70,23.54
06/17/22 13:50,10.22,2.19,31.53,23.69
06/17/22 13:52,7.64,1.36,31.97,22.58
06/17/22 13:54,7.95,1.08,0.66,22.69
06/17/22 13:56,8.82,1.61,46.34,16.61
06/17/22 13:58,9.58,2.73,42.83,20.42
06/17/22 14:02,9.83,1.43,35.44,23.28
06/17/22 14:04,10.40,1.18,34.72,23.24
06/17/22 14:06,10.06,2.20,37.81,23.68
06/17/22 14:08,10.40,1.37,37.86,23.58
06/17/22 14:10,8.97,3.42,35.65,23.65
06/17/22 14:12,7.97,1.40,37.87,22.83
06/17/22 14:14,9.99,3.34,37.34,23.43
06/17/22 14:16,9.64,3.65,41.19,23.48
06/17/22 14:18,9.36,0.49,37.94,23.57
06/17/22 14:20,8.37,5.80,42.52,23.66
